Handle\TaskId     ,A,B,C,D,E
AndrewB2011       ,+,+,+,+,
art239pro         , , ,+,+,
ChAr09            , , ,+,+,
denis.kariev      , ,+, , ,+
Fedorov_Aleksey   , , ,+,+,
IMoroz            , , ,+,+,
KhlkShiNaA.       , ,+, , ,+
Lantern21         , , ,+,+,
Makhrov_Aleksander, ,+,+, ,+
Mara2013          , , ,+,+,
maximus2606       , ,+, , ,+
RobotC            , , ,+,+,
Sansiveriy        , , ,+,+,
sergeydenisov     , , ,+,+,
SevaKrasnov       , , ,+,+,
ukhalikshina      , ,+, , ,+
V.Prilepin        , , ,+,+,
